community,title,content,full_text,posted_at
dcinside_리그오브레전드_갤러리,씨발 롤대갤 완장이 응갤임 ㅋㅋ 개쳐웃기노 ㅋㅣㄱ,응라포밍을 대놓고하노,씨발 롤대갤 완장이 응갤임 ㅋㅋ 개쳐웃기노 ㅋㅣㄱ 응라포밍을 대놓고하노,2025-11-23T18:52:20
dcinside_리그오브레전드_갤러리,26 순위 예상해봄,1.티원 2.한화 3.젠지 4.농심 5.킅 6.딮 7.폭스 8.든프 9. 10.브리온 티원 이제 리그 먹을때 됐음,26 순위 예상해봄 1.티원 2.한화 3.젠지 4.농심 5.킅 6.딮 7.폭스 8.든프 9. 10.브리온 티원 이제 리그 먹을때 됐음,2025-11-23T18:52:15
dcinside_리그오브레전드_갤러리,페이즈 와서 좋은점,내년에 케리아 저격밴 빼줄수있음 그 전엔 못하던거 ㅋㅋ,페이즈 와서 좋은점 내년에 케리아 저격밴 빼줄수있음 그 전엔 못하던거 ㅋㅋ,2025-11-23T18:52:08
dcinside_리그오브레전드_갤러리,법무법인 대륜 실시@간기자...,,법무법인 대륜 실시@간기자...,2025-11-23T18:52:04
dcinside_리그오브레전드_갤러리,사실 근데 뒷담은 용서함....,하지만 난쟁이인건 절대 용서못함 난쟁이는 씨발 사람이 아님,사실 근데 뒷담은 용서함.... 하지만 난쟁이인건 절대 용서못함 난쟁이는 씨발 사람이 아님,2025-11-23T18:52:04
dcinside_리그오브레전드_갤러리,씨맥이 구마는 그냥 롤을 못한데 페이즈 발끝도 안된데,"://./?=7 씨맥 ‘1 페이즈 3년계약은 업그레이드’ 구마유시 무시 발언 여러분들의 생각은? 에서 마음에 드는 동영상과 음악을 감상하고, 직접 만든 콘텐츠를 업로드하여 친구, 가족뿐 아니라 전 세계 사람들과 콘텐츠를 공유할 수 있습니다. .","씨맥이 구마는 그냥 롤을 못한데 페이즈 발끝도 안된데 ://./?=7 씨맥 ‘1 페이즈 3년계약은 업그레이드’ 구마유시 무시 발언 여러분들의 생각은? 에서 마음에 드는 동영상과 음악을 감상하고, 직접 만든 콘텐츠를 업로드하여 친구, 가족뿐 아니라 전 세계 사람들과 콘텐츠를 공유할 수 있습니다. .",2025-11-23T18:52:03
dcinside_리그오브레전드_갤러리,뒷난이 올려치는건 누구임?,오너는 역체정 아니지만 뒷난은 ㅇㅈ이라는데 티원 오기전에 페이커낀 에포트한테 벽느낀게 케리아임 얘도 커리어 페페페고만 뭔,뒷난이 올려치는건 누구임? 오너는 역체정 아니지만 뒷난은 ㅇㅈ이라는데 티원 오기전에 페이커낀 에포트한테 벽느낀게 케리아임 얘도 커리어 페페페고만 뭔,2025-11-23T18:51:48
dcinside_리그오브레전드_갤러리,구마상대 벤카드는 바루스 하나면 충분,피어리스라서 그냥 한판 뺏어오면 쭉 걱정없음.,구마상대 벤카드는 바루스 하나면 충분 피어리스라서 그냥 한판 뺏어오면 쭉 걱정없음.,2025-11-23T18:51:37
dcinside_리그오브레전드_갤러리,응줌마 거르고 스매쉬 나올 때 ㅈㄴ 웃기긴함,노골적으로 제이카만 픽하는게 ㅈㄴ웃겼음ㅋㅋ,응줌마 거르고 스매쉬 나올 때 ㅈㄴ 웃기긴함 노골적으로 제이카만 픽하는게 ㅈㄴ웃겼음ㅋㅋ,2025-11-23T18:51:13
dcinside_리그오브레전드_갤러리,ㅁㅌㅊ노,,ㅁㅌㅊ노,2025-11-23T18:51:07
dcinside_리그오브레전드_갤러리,내년 한생갤 이용가이드,1. 게임 이기고 누군가 빨린다면 구마유시를 낄껴할것 ) 제우스가 일 경우 -> 와 제구 역시 파엠듀오 미쳣다 2. 원딜탓이 나온다면 쮀맘 / 응줌 몰이를 반반섞어서 혼동을 유발할것,내년 한생갤 이용가이드 1. 게임 이기고 누군가 빨린다면 구마유시를 낄껴할것 ) 제우스가 일 경우 -> 와 제구 역시 파엠듀오 미쳣다 2. 원딜탓이 나온다면 쮀맘 / 응줌 몰이를 반반섞어서 혼동을 유발할것,2025-11-23T18:51:07
dcinside_리그오브레전드_갤러리,씨맥)구마>페이즈는 업그레이드다,,씨맥)구마>페이즈는 업그레이드다,2025-11-23T18:51:07
dcinside_리그오브레전드_갤러리,내년 롤파크 ㄹㅇ 개좆된 이유...,이젠 막아줄 사람도 없어서 ㄹㅇ 벽 부셔지게 생김....,내년 롤파크 ㄹㅇ 개좆된 이유... 이젠 막아줄 사람도 없어서 ㄹㅇ 벽 부셔지게 생김....,2025-11-23T18:51:02
dcinside_리그오브레전드_갤러리,쮀맘 구맘 시빌워 기대되농,내년은 내내 한생갤에서 놀아야지,쮀맘 구맘 시빌워 기대되농 내년은 내내 한생갤에서 놀아야지,2025-11-23T18:51:02
dcinside_리그오브레전드_갤러리,피어리스 ㅈ노잼인데 안하면 안되냐?,다전제 가면 3세트부터 똥냄새 존나 나서 재미가 없어 페이커 우승해서 피어리스 이전기록 어쩌구 지랄도 못할테니까 제발 옛날로 다시 돌려줘,피어리스 ㅈ노잼인데 안하면 안되냐? 다전제 가면 3세트부터 똥냄새 존나 나서 재미가 없어 페이커 우승해서 피어리스 이전기록 어쩌구 지랄도 못할테니까 제발 옛날로 다시 돌려줘,2025-11-23T18:51:01
dcinside_리그오브레전드_갤러리,축리웹 피싸개 만선인게 구마유시 최애 이딴게 인기글 가잖아,아휴 피냄새 씨발 역겨워라,축리웹 피싸개 만선인게 구마유시 최애 이딴게 인기글 가잖아 아휴 피냄새 씨발 역겨워라,2025-11-23T18:50:47
dcinside_리그오브레전드_갤러리,씨맥이 구마유시 개무시했데,"://./?=7 씨맥 ‘1 페이즈 3년계약은 업그레이드’ 구마유시 무시 발언 여러분들의 생각은? 에서 마음에 드는 동영상과 음악을 감상하고, 직접 만든 콘텐츠를 업로드하여 친구, 가족뿐 아니라 전 세계 사람들과 콘텐츠를 공유할 수 있습니다. .","씨맥이 구마유시 개무시했데 ://./?=7 씨맥 ‘1 페이즈 3년계약은 업그레이드’ 구마유시 무시 발언 여러분들의 생각은? 에서 마음에 드는 동영상과 음악을 감상하고, 직접 만든 콘텐츠를 업로드하여 친구, 가족뿐 아니라 전 세계 사람들과 콘텐츠를 공유할 수 있습니다. .",2025-11-23T18:50:34
dcinside_리그오브레전드_갤러리,카이팅 못하고 근접탱커만 하는 새끼들이 원딜할때 꺼내는게 직슨데,구 <<<< 이새낀 대체 정체가 뭐임? 그렇다고 또 메카닉 요구하는 제이카도 못함 진짜 조온나게 까다로운 놈이노 ㅋㅋ,카이팅 못하고 근접탱커만 하는 새끼들이 원딜할때 꺼내는게 직슨데 구 <<<< 이새낀 대체 정체가 뭐임? 그렇다고 또 메카닉 요구하는 제이카도 못함 진짜 조온나게 까다로운 놈이노 ㅋㅋ,2025-11-23T18:50:33
dcinside_리그오브레전드_갤러리,국대 기인 오너 페/쵸 바이퍼 듀로 ← 어떰,미드는 솔까 미필 못뽑을듯 나머지는 그냥 미필중에 뽑았는데 저대로면 금메달 가능?,국대 기인 오너 페/쵸 바이퍼 듀로 ← 어떰 미드는 솔까 미필 못뽑을듯 나머지는 그냥 미필중에 뽑았는데 저대로면 금메달 가능?,2025-11-23T18:50:31
dcinside_리그오브레전드_갤러리,아겜 미드는 솔직히 쵸비가 가야함,비디디 팀원 좋으면 오히려 지가 못함 페이커 외부일정 때문에 바쁘고 내년부터 몸관리 해야함 제카 포함 다른 미드 개못해서 중국한테 질 가능성 높음 미드는 쵸비다,아겜 미드는 솔직히 쵸비가 가야함 비디디 팀원 좋으면 오히려 지가 못함 페이커 외부일정 때문에 바쁘고 내년부터 몸관리 해야함 제카 포함 다른 미드 개못해서 중국한테 질 가능성 높음 미드는 쵸비다,2025-11-23T18:50:22
dcinside_리그오브레전드_갤러리,티원 이제 이 조합 쓸 수 있노,ㄹㅇ 개무서웠는데 ㅋㅋㅋ,티원 이제 이 조합 쓸 수 있노 ㄹㅇ 개무서웠는데 ㅋㅋㅋ,2025-11-23T18:50:22
dcinside_리그오브레전드_갤러리,바이퍼 안나왔으면 구좆은 어디로 갔냐?,는 돈 없고 디플?,바이퍼 안나왔으면 구좆은 어디로 갔냐? 는 돈 없고 디플?,2025-11-23T18:50:17
dcinside_리그오브레전드_갤러리,쓰리핏파엠 역체원 구마유시 한화종신바라면 개추,티원은 눈물머금고 페이즈나 써야지 ㄹㅇ,쓰리핏파엠 역체원 구마유시 한화종신바라면 개추 티원은 눈물머금고 페이즈나 써야지 ㄹㅇ,2025-11-23T18:50:11
dcinside_리그오브레전드_갤러리,올해의 선수가 도란인 이유,월즈끝날때까지 도란으로 월즈 우승하기 이게 가능한지 전문가도 몰랐고 슼갈도 몰랐음ㅋㅋ,올해의 선수가 도란인 이유 월즈끝날때까지 도란으로 월즈 우승하기 이게 가능한지 전문가도 몰랐고 슼갈도 몰랐음ㅋㅋ,2025-11-23T18:50:03
dcinside_리그오브레전드_갤러리,칼바람 아수라장 버그있나,쿨타임 있는 증강 빼고 바로 얻어지는 증강 두번씩 먹어지는데 이거 버근가 치명타 50% 두개 받아서 100되고 전환 프리즘 두개 받아서 프리즘 두개 됨,칼바람 아수라장 버그있나 쿨타임 있는 증강 빼고 바로 얻어지는 증강 두번씩 먹어지는데 이거 버근가 치명타 50% 두개 받아서 100되고 전환 프리즘 두개 받아서 프리즘 두개 됨,2025-11-23T18:50:03
dcinside_리그오브레전드_갤러리,딜라이트 때문에 한화는 답이 없음 ㅇㅇ,라인전 폭파는 꿈도 못꾸게될거라 구마의 유일한 장점 사라지고 그렇게 똥치워도 딜라이트가 가져다 줄 리턴이 크지 않음 결국 남는건 절망적인 구마의 후반뿐임 ㅇㅇ,딜라이트 때문에 한화는 답이 없음 ㅇㅇ 라인전 폭파는 꿈도 못꾸게될거라 구마의 유일한 장점 사라지고 그렇게 똥치워도 딜라이트가 가져다 줄 리턴이 크지 않음 결국 남는건 절망적인 구마의 후반뿐임 ㅇㅇ,2025-11-23T18:50:02
dcinside_리그오브레전드_갤러리,클템 롤알못임?,념글 구마유시 환상적인 핑퐁 한타라는데 왜 케리아는 고개 흔든거임 누가 맞는거임,클템 롤알못임? 념글 구마유시 환상적인 핑퐁 한타라는데 왜 케리아는 고개 흔든거임 누가 맞는거임,2025-11-23T18:49:55
dcinside_리그오브레전드_갤러리,쵸비랑 케리아랑 데뷔 1년차이밖에 안나는거,알고있었냐 둘다 왜 항상 신인같지?,쵸비랑 케리아랑 데뷔 1년차이밖에 안나는거 알고있었냐 둘다 왜 항상 신인같지?,2025-11-23T18:49:53
dcinside_리그오브레전드_갤러리,젠첩들근데 양심있노 느원페는 안하노 ㅋㅋㅋㅋㅋㅋㅋㅋ,젠첩인증마크 확실하노,젠첩들근데 양심있노 느원페는 안하노 ㅋㅋㅋㅋㅋㅋㅋㅋ 젠첩인증마크 확실하노,2025-11-23T18:49:50
dcinside_리그오브레전드_갤러리,롤팀 팬덤중에 피냄새 안나는 팀은 없냐??,피싸개 아줌마들 그냥 존나 역겨운데 동부 개버러지 팀들 말고 그나마 남초인게 젠지임?,롤팀 팬덤중에 피냄새 안나는 팀은 없냐?? 피싸개 아줌마들 그냥 존나 역겨운데 동부 개버러지 팀들 말고 그나마 남초인게 젠지임?,2025-11-23T18:49:48
