community,title,content,full_text,posted_at
dcinside_해외축구_갤러리,월드컵 가상 추첨 한국 진짜 꿀 조,조,월드컵 가상 추첨 한국 진짜 꿀 조 조,2025-11-23T18:11:49
dcinside_해외축구_갤러리,인상,ㄷㄷㄷ,인상 ㄷㄷㄷ,2025-11-23T18:11:29
dcinside_해외축구_갤러리,밥줌마 와꾸 보고 가라,밥줌마 승 ㅋㅋㅋ,밥줌마 와꾸 보고 가라 밥줌마 승 ㅋㅋㅋ,2025-11-23T18:11:28
dcinside_해외축구_갤러리,안세영은 이대로라면 한국 여자 프로스포츠 역사상,최고의 선수 되겠는데? 좀 애매하긴한데 일단 마이너 종목이긴한데 김연아도 비슷하게 마이너라 경쟁력 측면에서 비슷하거나 오히려 베드민턴이 좀더 쎄다고 해야할것 같고 김연경은 좀 메이저라서 애매한데 안세영 나이 생각하면 누적으로 거의 미친수준으로 세계최고 될거라서 그냥 한국 여자 스포츠 역사상 최고는 안세영이 예약해 놓은 상태라고 보면 될듯..,안세영은 이대로라면 한국 여자 프로스포츠 역사상 최고의 선수 되겠는데? 좀 애매하긴한데 일단 마이너 종목이긴한데 김연아도 비슷하게 마이너라 경쟁력 측면에서 비슷하거나 오히려 베드민턴이 좀더 쎄다고 해야할것 같고 김연경은 좀 메이저라서 애매한데 안세영 나이 생각하면 누적으로 거의 미친수준으로 세계최고 될거라서 그냥 한국 여자 스포츠 역사상 최고는 안세영이 예약해 놓은 상태라고 보면 될듯..,2025-11-23T18:11:25
dcinside_해외축구_갤러리,손흥민의 첫시즌은 리오넬 메시에 버금가는 활약이었다.,,손흥민의 첫시즌은 리오넬 메시에 버금가는 활약이었다.,2025-11-23T18:11:09
dcinside_해외축구_갤러리,밥밥이는 카가와 김민재한테 왜,무시당하는거임? 축잘들한테 왜 단호한 배제 당한거임?,밥밥이는 카가와 김민재한테 왜 무시당하는거임? 축잘들한테 왜 단호한 배제 당한거임?,2025-11-23T18:11:07
dcinside_해외축구_갤러리,오늘 창고에 잠자고있던 고무호스 빛보는날인가,주인님을 뵙습니다.,오늘 창고에 잠자고있던 고무호스 빛보는날인가 주인님을 뵙습니다.,2025-11-23T18:10:17
dcinside_해외축구_갤러리,현지에서 손흥민 빼고 다 나가라고 함 ㄷㄷㄷ,갓흥민 아니냐 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,현지에서 손흥민 빼고 다 나가라고 함 ㄷㄷㄷ 갓흥민 아니냐 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T18:10:12
dcinside_해외축구_갤러리,손흥민은 골대도르도 이강인한테 발렸네,이강인 골대도르:축신짤 만들고 이후 역전골 기점만들며 승리 대흥민 골대도르:1번 키커로 나와서 골대맞히고 패배,손흥민은 골대도르도 이강인한테 발렸네 이강인 골대도르:축신짤 만들고 이후 역전골 기점만들며 승리 대흥민 골대도르:1번 키커로 나와서 골대맞히고 패배,2025-11-23T18:10:05
dcinside_해외축구_갤러리,다리가 밥줌이라서 차기 직전에 절룩하게 된거야,,다리가 밥줌이라서 차기 직전에 절룩하게 된거야,2025-11-23T18:09:08
dcinside_해외축구_갤러리,잠깐상식) 승부차기 1번 키퍼 평균 성공률은 75%다,눈 감고 구석 아무데나 대충 차도 3번은 들어가는 확률을 못 넣고 절뚝거리는 앰창새끼가 하나 있던데 흠.....,잠깐상식) 승부차기 1번 키퍼 평균 성공률은 75%다 눈 감고 구석 아무데나 대충 차도 3번은 들어가는 확률을 못 넣고 절뚝거리는 앰창새끼가 하나 있던데 흠.....,2025-11-23T18:08:29
dcinside_해외축구_갤러리,야구가 여초화된게 심각한 이유.,여초 팬들 비시즌에 저러고 놀고있음,야구가 여초화된게 심각한 이유. 여초 팬들 비시즌에 저러고 놀고있음,2025-11-23T18:08:29
dcinside_해외축구_갤러리,창민이 실축 후 심정ㅠㅠ,때리지마 때리지마~,창민이 실축 후 심정ㅠㅠ 때리지마 때리지마~,2025-11-23T18:08:27
dcinside_해외축구_갤러리,평소처럼 그저 손흥민이 손흥민 했을뿐,새로운짤 공급 ㄱㅅ,평소처럼 그저 손흥민이 손흥민 했을뿐 새로운짤 공급 ㄱㅅ,2025-11-23T18:07:52
dcinside_해외축구_갤러리,실축은 손흥민이 했는데 왜 밥줌이 나옴?,밥줌이 부정 만들었음?,실축은 손흥민이 했는데 왜 밥줌이 나옴? 밥줌이 부정 만들었음?,2025-11-23T18:07:46
dcinside_해외축구_갤러리,차라리 울지 그랬냐?,2골 넣었으니 팀원들이 위로라도 해주지 난 잘못없다고 절뚝으로 어필은 짜침,차라리 울지 그랬냐? 2골 넣었으니 팀원들이 위로라도 해주지 난 잘못없다고 절뚝으로 어필은 짜침,2025-11-23T18:07:18
dcinside_해외축구_갤러리,엠줌마가 확실히 여자라는게 느껴지는게.,엠줌마 와꾸 까는글 올리면 바로 발작함 노괴피싸개 아니랄까봐 아줌마란 소리에 발작함ㅋㅋ,엠줌마가 확실히 여자라는게 느껴지는게. 엠줌마 와꾸 까는글 올리면 바로 발작함 노괴피싸개 아니랄까봐 아줌마란 소리에 발작함ㅋㅋ,2025-11-23T18:07:09
dcinside_해외축구_갤러리,이강인 득점 묻힌 이유는 간단함,그냥 득점없이도 존나 잘하고 있었어서 별 감흥이 없음ㅋㅋ,이강인 득점 묻힌 이유는 간단함 그냥 득점없이도 존나 잘하고 있었어서 별 감흥이 없음ㅋㅋ,2025-11-23T18:07:01
dcinside_해외축구_갤러리,와 레저선수 피지컬 뭐이리 좋음,흥민이가 밀리네,와 레저선수 피지컬 뭐이리 좋음 흥민이가 밀리네,2025-11-23T18:06:57
dcinside_해외축구_갤러리,손흥민,,손흥민,2025-11-23T18:06:55
dcinside_해외축구_갤러리,앰창년들 독주머니 제대로 터짐 ㅋㅋ,어지간하면 방 비웠다 올텐데 ㅋㅋㅋ,앰창년들 독주머니 제대로 터짐 ㅋㅋ 어지간하면 방 비웠다 올텐데 ㅋㅋㅋ,2025-11-23T18:06:50
dcinside_해외축구_갤러리,광고선수의 연기 모음,,광고선수의 연기 모음,2025-11-23T18:06:21
dcinside_해외축구_갤러리,밥줌들은 손흥민얘기안꺼내면,밥밥이 얘기할게없음? 하긴 7부벤치 전성기나이에 찾는팀 없음 챔스기여도 ^무^ 한국역대베스트에 단호한 배제 이러니ㅋㅋㅋㅋ,밥줌들은 손흥민얘기안꺼내면 밥밥이 얘기할게없음? 하긴 7부벤치 전성기나이에 찾는팀 없음 챔스기여도 ^무^ 한국역대베스트에 단호한 배제 이러니ㅋㅋㅋㅋ,2025-11-23T18:06:06
dcinside_해외축구_갤러리,근데 키커가 유리하다는것도 옛말같음,키퍼는 못막아도 본전이고 막으면 영웅 되는건데 키커는 넣어야 본전이고 실축하면 좆되잖아 심리적으론 키퍼가 더 유리한거 아닌가,근데 키커가 유리하다는것도 옛말같음 키퍼는 못막아도 본전이고 막으면 영웅 되는건데 키커는 넣어야 본전이고 실축하면 좆되잖아 심리적으론 키퍼가 더 유리한거 아닌가,2025-11-23T18:05:45
