community,title,content,full_text,posted_at
dcinside_향수화장품_갤러리,이런 여드름엔 뭐바름?,볼 사진이고 반대쪽도 비슷함,이런 여드름엔 뭐바름? 볼 사진이고 반대쪽도 비슷함,2025-11-23T20:18:37
dcinside_향수화장품_갤러리,피부과의사들 추천하는성분보면,대부분 나이아신은 무조건 추천하네,피부과의사들 추천하는성분보면 대부분 나이아신은 무조건 추천하네,2025-11-23T20:17:54
dcinside_향수화장품_갤러리,"멜라토닝 크림, 오인트겔",얼굴이 꺼먼 색소침착 없애려고 하는데 약국 멜라토닝크림하고 마일드랩 오인트겔중에 어떤게 괜찮을까요?,"멜라토닝 크림, 오인트겔 얼굴이 꺼먼 색소침착 없애려고 하는데 약국 멜라토닝크림하고 마일드랩 오인트겔중에 어떤게 괜찮을까요?",2025-11-23T19:59:52
dcinside_향수화장품_갤러리,바르고 시간 지나도 안번들거리는 유기자차,없냐 지금 자작나무 쓰고있는데 시간 좀 자나면 유분 올라오는게 좀 아쉽네,바르고 시간 지나도 안번들거리는 유기자차 없냐 지금 자작나무 쓰고있는데 시간 좀 자나면 유분 올라오는게 좀 아쉽네,2025-11-23T19:52:28
dcinside_향수화장품_갤러리,님들 나이아신 어디꺼 씀?,난 더마꺼 쓰는데 코스꺼 쳐보니까 가격차이 4배나,님들 나이아신 어디꺼 씀? 난 더마꺼 쓰는데 코스꺼 쳐보니까 가격차이 4배나,2025-11-23T19:49:17
dcinside_향수화장품_갤러리,수부지 여드름성 피부 제품 추천좀요,토너 세럼 젤크림(여름에 바를거) 로션(가을) 장벽크림(겨울) 폼클렌징 추천 받아요 저같은 피부 많을거같은데 부탁드립니다ㅠㅠ,수부지 여드름성 피부 제품 추천좀요 토너 세럼 젤크림(여름에 바를거) 로션(가을) 장벽크림(겨울) 폼클렌징 추천 받아요 저같은 피부 많을거같은데 부탁드립니다ㅠㅠ,2025-11-23T19:45:48
dcinside_향수화장품_갤러리,님들 에스네이처 클밀 어떰?,"지성,민감성피부가 쓰기에 ㄱㅊ나?","님들 에스네이처 클밀 어떰? 지성,민감성피부가 쓰기에 ㄱㅊ나?",2025-11-23T19:41:51
dcinside_향수화장품_갤러리,수분세럼에서 토리든 이길만한 놈있나,웰라쥬도 성능만 놓고보면 토리든이 좋은거같은데 그 스쿠알란? 그것도 토리든 미만잡일거같은데,수분세럼에서 토리든 이길만한 놈있나 웰라쥬도 성능만 놓고보면 토리든이 좋은거같은데 그 스쿠알란? 그것도 토리든 미만잡일거같은데,2025-11-23T19:40:16
dcinside_향수화장품_갤러리,형들 무신사 쿠폰 오늘까진데 수분크림 추천좀,나 지성에 4계절 내내 일리윤 수분크림만 사용했는데 괜찮은거 있으면 추천좀 수분크림,형들 무신사 쿠폰 오늘까진데 수분크림 추천좀 나 지성에 4계절 내내 일리윤 수분크림만 사용했는데 괜찮은거 있으면 추천좀 수분크림,2025-11-23T19:12:12
dcinside_향수화장품_갤러리,탑 클라스 명문대 진학 퍼펙트 합격 가이드!_,,탑 클라스 명문대 진학 퍼펙트 합격 가이드!_,2025-11-23T19:04:45
dcinside_향수화장품_갤러리,중성 클렌징폼 쓰고 토너 안 해도 되나?,물기 마르기 전에 바로 비 두세 번 레이어드 해서 바르는데,중성 클렌징폼 쓰고 토너 안 해도 되나? 물기 마르기 전에 바로 비 두세 번 레이어드 해서 바르는데,2025-11-23T18:32:22
dcinside_향수화장품_갤러리,지금 루틴에서 빼거나 수정해야할게있을까요?,아침 (루틴고정) 세안 -> 토리든 세럼 -> 그린로그 비타민(유도체) -> 바이오 더마 울트라크림 -> 선크림 저녁 월 수 금 세안 -> 토리든 세럼 -> 코스알엑스 레티놀0.1 -> 바이오더마 울트라크림 화목토 세안-> 토리든세럼 -> 디오디너리 나이아신10 -> 바이오더마 울트라크림 일요일 토리든 세럼 -> 울트라크림 이렇게 진행하면 크게 문제없을까요,지금 루틴에서 빼거나 수정해야할게있을까요? 아침 (루틴고정) 세안 -> 토리든 세럼 -> 그린로그 비타민(유도체) -> 바이오 더마 울트라크림 -> 선크림 저녁 월 수 금 세안 -> 토리든 세럼 -> 코스알엑스 레티놀0.1 -> 바이오더마 울트라크림 화목토 세안-> 토리든세럼 -> 디오디너리 나이아신10 -> 바이오더마 울트라크림 일요일 토리든 세럼 -> 울트라크림 이렇게 진행하면 크게 문제없을까요,2025-11-23T18:12:53
