community,title,content,full_text,posted_at
theqoo_beauty/category/25604,스팟패치 제일 티 안나는거 뭐야?,화장하고 가리기 용으로 쓸건데 내가 쓴거 중엔 올영 넥스케어가 젤 티 안났던거 같아 이거 말고 괜찮은거 있을까? 다 떨어져서 새로 사야대,스팟패치 제일 티 안나는거 뭐야? 화장하고 가리기 용으로 쓸건데 내가 쓴거 중엔 올영 넥스케어가 젤 티 안났던거 같아 이거 말고 괜찮은거 있을까? 다 떨어져서 새로 사야대,2025-11-24T11:16:00
theqoo_beauty/category/25604,무펄하라 추천받아,무펄 하라가 그냥 밝아지는 무펄 파우더인거지? 뭐가 좋아? 펄 하이라이트밖에 없어 눈밑꺼짐 마무리용으로 쓰려고해!,무펄하라 추천받아 무펄 하라가 그냥 밝아지는 무펄 파우더인거지? 뭐가 좋아? 펄 하이라이트밖에 없어 눈밑꺼짐 마무리용으로 쓰려고해!,2025-11-24T11:16:00
theqoo_beauty/category/25604,울 엄마 건성 아닌데 아이오페 슈퍼바이탈 괜찮을라나,세수하고 나와도 피부당김이 없어서 걍 암것도 안바를때도 많은데 요즘 주름이랑 탄력 신경쓰이긴 하나봐 레티놀 0.1짜리 튜브에 든거 사주려는데 슈퍼바이탈 스킨로션도 살까말까 건성 아님 기름지고 별로일까,울 엄마 건성 아닌데 아이오페 슈퍼바이탈 괜찮을라나 세수하고 나와도 피부당김이 없어서 걍 암것도 안바를때도 많은데 요즘 주름이랑 탄력 신경쓰이긴 하나봐 레티놀 0.1짜리 튜브에 든거 사주려는데 슈퍼바이탈 스킨로션도 살까말까 건성 아님 기름지고 별로일까,2025-11-24T11:15:00
theqoo_beauty/category/25604,피나 브러쉬 구매하려고 했는데 점점 품절 됨,하나 품절됐을때 그냥 살걸 기다리다 3개 품절 마음이 식는다ㅜㅜ,피나 브러쉬 구매하려고 했는데 점점 품절 됨 하나 품절됐을때 그냥 살걸 기다리다 3개 품절 마음이 식는다ㅜㅜ,2025-11-24T11:13:00
theqoo_beauty/category/25604,퍼컬 진단 8만원이면 가격 적당해?,시간은 1시간,퍼컬 진단 8만원이면 가격 적당해? 시간은 1시간,2025-11-24T11:13:00
theqoo_beauty/category/25604,밑트임 펜슬 어디께 좋아?,지금 투쿨 거 쓰는데 예쁘긴 한데 좀 뻑뻑한 느낌 좀 잘 발리는 거 없니,밑트임 펜슬 어디께 좋아? 지금 투쿨 거 쓰는데 예쁘긴 한데 좀 뻑뻑한 느낌 좀 잘 발리는 거 없니,2025-11-24T11:11:00
theqoo_beauty/category/25604,시카앰플이나 세럼 중에 잘쓴거 추천해주라!,라운드랩 소나무 써봤는데 다른것도 써보고 싶어서 ㅎㅎ,시카앰플이나 세럼 중에 잘쓴거 추천해주라! 라운드랩 소나무 써봤는데 다른것도 써보고 싶어서 ㅎㅎ,2025-11-24T11:10:00
theqoo_beauty/category/25604,미샤는 유튜버 홍보나 바이럴 거의 안해?,미샤는 올영에 없어서 인가 홍보 영상이나 일반적인 뷰튜버 영상에서도 제품 찾기가 힘드네 관심 있는거 후기 좀 찾아보려고 검색해도 나오는게 별로 없어,미샤는 유튜버 홍보나 바이럴 거의 안해? 미샤는 올영에 없어서 인가 홍보 영상이나 일반적인 뷰튜버 영상에서도 제품 찾기가 힘드네 관심 있는거 후기 좀 찾아보려고 검색해도 나오는게 별로 없어,2025-11-24T11:06:00
theqoo_beauty/category/25604,루미르 고민돼서 ㅎㅂㄹ 이분 영상보는데,화질 넘 좋고 보정기 많이 안느껴져서 좋다 ㅋㅋㅋ 발샥 너무 잘보여 속시원,루미르 고민돼서 ㅎㅂㄹ 이분 영상보는데 화질 넘 좋고 보정기 많이 안느껴져서 좋다 ㅋㅋㅋ 발샥 너무 잘보여 속시원,2025-11-24T11:04:00
theqoo_beauty/category/25604,라뮤즈 광채쿠션 써본 덬 이썽?,어때ㅔ?? 건성임!,라뮤즈 광채쿠션 써본 덬 이썽? 어때ㅔ?? 건성임!,2025-11-24T11:01:00
