community,full_text,timestamp,sentence,all_endings,intent,punctuation,symbols,min_prob,last_token_prob,has_oov,needs_manual_intent
dcinside_해외축구_갤러리,월드컵 가상 추첨 한국 진짜 꿀 조 조,2025-11-23T18:11:49,월드컵 가상 추첨 한국 진짜 꿀 조 조,[],,[],[],0.0,0.0,True,True
dcinside_해외축구_갤러리,인상 ㄷㄷㄷ,2025-11-23T18:11:29,인상 ㄷㄷㄷ,[],,[],"[""ㄷㄷㄷ""]",0.5347700119018555,0.640108585357666,True,True
dcinside_해외축구_갤러리,밥줌마 와꾸 보고 가라 밥줌마 승 ㅋㅋㅋ,2025-11-23T18:11:28,밥줌마 와꾸 보고 가라,"[[""라"", ""EF"", 0.5673540830612183, 0]]",,[],[],0.37621355056762695,0.5673540830612183,True,True
dcinside_해외축구_갤러리,밥줌마 와꾸 보고 가라 밥줌마 승 ㅋㅋㅋ,2025-11-23T18:11:28,밥줌마 승 ㅋㅋㅋ,[],,[],"[""ㅋㅋㅋ""]",0.4290142059326172,0.4290142059326172,True,True
dcinside_해외축구_갤러리,안세영은 이대로라면 한국 여자 프로스포츠 역사상 최고의 선수 되겠는데? 좀 애매하긴한데 일단 마이너 종목이긴한데 김연아도 비슷하게 마이너라 경쟁력 측면에서 비슷하거나 오히려 베드민턴이 좀더 쎄다고 해야할것 같고 김연경은 좀 메이저라서 애매한데 안세영 나이 생각하면 누적으로 거의 미친수준으로 세계최고 될거라서 그냥 한국 여자 스포츠 역사상 최고는 안세영이 예약해 놓은 상태라고 보면 될듯..,2025-11-23T18:11:25,안세영은 이대로라면 한국 여자 프로스포츠 역사상 최고의 선수 되겠는데?,"[[""는데"", ""EF"", 0.5343911051750183, 0]]",,"[""?""]",[],0.0,0.9888462424278259,True,True
dcinside_해외축구_갤러리,안세영은 이대로라면 한국 여자 프로스포츠 역사상 최고의 선수 되겠는데? 좀 애매하긴한데 일단 마이너 종목이긴한데 김연아도 비슷하게 마이너라 경쟁력 측면에서 비슷하거나 오히려 베드민턴이 좀더 쎄다고 해야할것 같고 김연경은 좀 메이저라서 애매한데 안세영 나이 생각하면 누적으로 거의 미친수준으로 세계최고 될거라서 그냥 한국 여자 스포츠 역사상 최고는 안세영이 예약해 놓은 상태라고 보면 될듯..,2025-11-23T18:11:25,좀 애매하긴한데 일단 마이너 종목이긴한데 김연아도 비슷하게 마이너라 경쟁력 측면에서 비슷하거나 오히려 베드민턴이 좀더 쎄다고 해야할것 같고 김연경은 좀 메이저라서 애매한데 안세영 나이 생각하면 누적으로 거의 미친수준으로 세계최고 될거라서 그냥 한국 여자 스포츠 역사상 최고는 안세영이 예약해 놓은 상태라고 보면 될듯..,[],,"[""..""]",[],0.0,0.41700735688209534,True,True
dcinside_해외축구_갤러리,손흥민의 첫시즌은 리오넬 메시에 버금가는 활약이었다.,2025-11-23T18:11:09,손흥민의 첫시즌은 리오넬 메시에 버금가는 활약이었다.,"[[""다"", ""EF"", 0.9841698408126831, 0]]",,"["".""]",[],0.9573935270309448,0.9949427843093872,False,False
dcinside_해외축구_갤러리,밥밥이는 카가와 김민재한테 왜 무시당하는거임? 축잘들한테 왜 단호한 배제 당한거임?,2025-11-23T18:11:07,밥밥이는 카가와 김민재한테 왜 무시당하는거임?,"[[""(으)ㅁ"", ""EF"", 0.983399510383606, 0]]",,"[""?""]",[],0.0,0.9900513887405396,True,True
dcinside_해외축구_갤러리,밥밥이는 카가와 김민재한테 왜 무시당하는거임? 축잘들한테 왜 단호한 배제 당한거임?,2025-11-23T18:11:07,축잘들한테 왜 단호한 배제 당한거임?,"[[""(으)ㅁ"", ""EF"", 0.9680715799331665, 0]]",,"[""?""]",[],0.7438502311706543,0.9917211532592773,True,True
dcinside_해외축구_갤러리,오늘 창고에 잠자고있던 고무호스 빛보는날인가 주인님을 뵙습니다.,2025-11-23T18:10:17,오늘 창고에 잠자고있던 고무호스 빛보는날인가,"[[""ㄴ가"", ""EF"", 0.8998295068740845, 0]]",,[],[],0.751481831073761,0.8998295068740845,False,True
dcinside_해외축구_갤러리,오늘 창고에 잠자고있던 고무호스 빛보는날인가 주인님을 뵙습니다.,2025-11-23T18:10:17,주인님을 뵙습니다.,"[[""ㅂ니다"", ""EF"", 0.9859212636947632, 0]]",,"["".""]",[],0.9518679976463318,0.990099310874939,False,False
dcinside_해외축구_갤러리,현지에서 손흥민 빼고 다 나가라고 함 ㄷㄷㄷ 갓흥민 아니냐 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T18:10:12,현지에서 손흥민 빼고 다 나가라고 함,"[[""(으)ㅁ"", ""EF"", 0.9626427888870239, 0]]",,[],[],0.8753459453582764,0.9626427888870239,False,True
dcinside_해외축구_갤러리,현지에서 손흥민 빼고 다 나가라고 함 ㄷㄷㄷ 갓흥민 아니냐 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T18:10:12,ㄷㄷㄷ 갓흥민 아니냐,"[[""냐"", ""EF"", 0.9624089002609253, 0]]",,[],"[""ㄷㄷㄷ""]",0.5714406371116638,0.9624089002609253,True,True
dcinside_해외축구_갤러리,현지에서 손흥민 빼고 다 나가라고 함 ㄷㄷㄷ 갓흥민 아니냐 ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,2025-11-23T18:10:12,ㄹㅇ ㅋㅋㅋㅋㅋㅋㅋ,[],,[],"[""ㄹㅇ"", ""ㅋㅋㅋ""]",0.6780298352241516,0.6780298352241516,True,True
dcinside_해외축구_갤러리,손흥민은 골대도르도 이강인한테 발렸네 이강인 골대도르:축신짤 만들고 이후 역전골 기점만들며 승리 대흥민 골대도르:1번 키커로 나와서 골대맞히고 패배,2025-11-23T18:10:05,손흥민은 골대도르도 이강인한테 발렸네,"[[""네"", ""EF"", 0.9585844278335571, 0]]",,[],[],0.6439650058746338,0.9585844278335571,True,True
dcinside_해외축구_갤러리,손흥민은 골대도르도 이강인한테 발렸네 이강인 골대도르:축신짤 만들고 이후 역전골 기점만들며 승리 대흥민 골대도르:1번 키커로 나와서 골대맞히고 패배,2025-11-23T18:10:05,이강인 골대도르:축신짤 만들고 이후 역전골 기점만들며 승리 대흥민 골대도르:1번 키커로 나와서 골대맞히고 패배,[],,[],[],0.0,0.9500483870506287,True,True
dcinside_해외축구_갤러리,잠깐상식) 승부차기 1번 키퍼 평균 성공률은 75%다 눈 감고 구석 아무데나 대충 차도 3번은 들어가는 확률을 못 넣고 절뚝거리는 앰창새끼가 하나 있던데 흠.....,2025-11-23T18:08:29,잠깐상식) 승부차기 1번 키퍼 평균 성공률은 75%다 눈 감고 구석 아무데나 대충 차도 3번은 들어가는 확률을 못 넣고 절뚝거리는 앰창새끼가 하나 있던데 흠.....,[],,"[""...""]",[],0.0,0.5476555228233337,True,True
dcinside_해외축구_갤러리,야구가 여초화된게 심각한 이유. 여초 팬들 비시즌에 저러고 놀고있음,2025-11-23T18:08:29,야구가 여초화된게 심각한 이유.,[],,"["".""]",[],0.6827592849731445,0.9791894555091858,False,True
dcinside_해외축구_갤러리,야구가 여초화된게 심각한 이유. 여초 팬들 비시즌에 저러고 놀고있음,2025-11-23T18:08:29,여초 팬들 비시즌에 저러고 놀고있음,"[[""(으)ㅁ"", ""EF"", 0.8972107172012329, 0]]",,[],[],0.0,0.8972107172012329,False,True
