site,gallery,source_id,url,title,content,author,posted_at,comment_count,meta,comments
dcinside,국내연예-남자여자연예인_갤러리,2014788,https://gall.dcinside.com/board/view/?id=entertainment&no=2014788&page=1,양봊들은 한녀들처럼 질투 별로 없는거 신기하긔,또뜨가 켄달이랑 헤일리 둘다 안고있는데 한녀였으면 이런 상황에서 뭐하는짓이냐고 화내고 질투할텐데 양봊들은 안그럼,ㅇㅇ,2025-11-23T20:58:49,0,"{'views': 33, 'recommendations': 6, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014788&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(211.36)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:58:49', 'list_views': 33, 'list_recommendations': 6, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014787,https://gall.dcinside.com/board/view/?id=entertainment&no=2014787&page=1,짹창 이제 실제거주국기 표시된다하긔,일본인 위장 페도짤 그리는 젖괴들 신고하기 좋은 거 같긔 블루 아카이브 짤쟁이 찾기 좋아보이긔 조만간 편법 나올지도 모르니 이 때긔,ㅇㅇ,2025-11-23T20:34:22,0,"{'views': 58, 'recommendations': 10, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014787&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(211.36)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:34:22', 'list_views': 58, 'list_recommendations': 10, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014786,https://gall.dcinside.com/board/view/?id=entertainment&no=2014786&page=1,그냥유충 낳아도 미치는데 장혜유충 낳은 기혼은 얼마나,미쳐있을까 궁금하긔,ㅇㅇ,2025-11-23T20:22:31,0,"{'views': 39, 'recommendations': 6, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014786&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.102)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:22:31', 'list_views': 39, 'list_recommendations': 6, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014785,https://gall.dcinside.com/board/view/?id=entertainment&no=2014785&page=1,기혼은 애낳아서 나라에 기여한다!!(딥페 몰1카찍는 유충),,ㅇㅇ,2025-11-23T20:08:40,0,"{'views': 47, 'recommendations': 10, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014785&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.102)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:08:40', 'list_views': 47, 'list_recommendations': 10, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014784,https://gall.dcinside.com/board/view/?id=entertainment&no=2014784&page=1,근무지 교환 좆기딸린 기혼이 1순위라 개빡치긔 씨발,기혼이 애낳아서 나라에 기여하는게 많으니까 혜택 더줘야 한다고 지랄하던데 그럼 기여하는거 좆도없는 장애인 노인은 가스실 보내란 거긔 기혼들아?,ㅇㅇ,2025-11-23T20:06:21,0,"{'views': 49, 'recommendations': 8, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014784&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.102)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:06:21', 'list_views': 49, 'list_recommendations': 8, 'list_comment_count': 2}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014783,https://gall.dcinside.com/board/view/?id=entertainment&no=2014783&page=1,유충맘이 이상한게 아니라 이상한봊들이 유충을 낳는듯,"내 생각에 모체 지능과 태아 성별에 상관관계가 있을꺼 같긔.
주변에 보면 댕청하고 목소리 큰 봊들이 꼭 유충낳고 좆문직에 침착한 봊들이 꼭 봊기 낳긔. 그래서 혐신했다고 하면 대충 성별 직감하고 있긔",ㅇㅇ,2025-11-23T20:00:18,0,"{'views': 91, 'recommendations': 11, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014783&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(118.235)', 'writer_uid': None, 'list_date_text': '2025-11-23 20:00:18', 'list_views': 91, 'list_recommendations': 11, 'list_comment_count': 5}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014782,https://gall.dcinside.com/board/view/?id=entertainment&no=2014782&page=1,50대에 늦둥이 한남유충 낳았다가,,ㅇㅇ,2025-11-23T19:58:47,0,"{'views': 66, 'recommendations': 5, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014782&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(211.235)', 'writer_uid': None, 'list_date_text': '2025-11-23 19:58:47', 'list_views': 66, 'list_recommendations': 5, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014781,https://gall.dcinside.com/board/view/?id=entertainment&no=2014781&page=1,그냥 할거하면서 한남 멀리하면되긔,6가만히9만 있어도 자지들 부랄발광하니까 한녀는 4b하면서 돈 모으자긔,국갤러,2025-11-23T19:58:38,0,"{'views': 29, 'recommendations': 7, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014781&page=1', 'list_writer': '국갤러', 'writer_ip': '(223.38)', 'writer_uid': None, 'list_date_text': '2025-11-23 19:58:38', 'list_views': 29, 'list_recommendations': 7, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014780,https://gall.dcinside.com/board/view/?id=entertainment&no=2014780&page=1,방송 CF - '남산 벚꽃길 산책' 2025 | N서울타워 - 남산산책로,'남산 벚꽃길 산책' 2025 | N서울타워 - 남산산책로 - 동대입구역,겨울바다,2025-11-23T19:49:12,0,"{'views': 9, 'recommendations': 0, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014780&page=1', 'list_writer': '겨울바다', 'writer_ip': '(49.165)', 'writer_uid': None, 'list_date_text': '2025-11-23 19:49:12', 'list_views': 9, 'list_recommendations': 0, 'list_comment_count': None}",[]
dcinside,국내연예-남자여자연예인_갤러리,2014779,https://gall.dcinside.com/board/view/?id=entertainment&no=2014779&page=1,재앙소맨 빠는 젖괴들 사실은 이 남성을 사랑하는,것이귀,ㅇㅇ,2025-11-23T19:44:44,0,"{'views': 55, 'recommendations': 4, 'gallery_id': 'entertainment', 'page_url': 'https://gall.dcinside.com/board/view/?id=entertainment&no=2014779&page=1', 'list_writer': 'ㅇㅇ', 'writer_ip': '(106.101)', 'writer_uid': None, 'list_date_text': '2025-11-23 19:44:44', 'list_views': 55, 'list_recommendations': 4, 'list_comment_count': 1}",[]
